sample_id,answerable,confidence,proposed_doc_id,alt_doc_id,검수,question_preview,reason,,,,,,,,,
faq-003,O,medium,guide/알림,guide/댓글,,안녕하세요! <외부서비스명>에 연동해서 사용 중입니다. 혹시 멘션에 대한 알림 기능은 아직 없는걸까요?,"질문은 멘션에 대한 알림 기능에 관한 것으로, 알림 설정과 관련된 문서가 가장 적합하며, 댓글에서 멘션 시 알림이 전송된다는 내용이 있어 댓글 문서도 관련이 있을 수 있다.",,,,,,,,,
faq-004,O,medium,guide/슬랙/연동-설정-가이드,guide/디스코드/연동-설정-가이드,,<외부서비스명> 또는 <외부서비스명>와 연동하여 작업에 대한 알림을 받으려고 계획중입니다. 두 가지를 연동 했을 때 연동하는 계정 수의 제한이 있을까요? <외부서비스명>은 무료버전을 사용하려고 합니다.,"질문은 외부 서비스와의 연동 및 계정 수 제한에 관한 것으로, 연동 설정 가이드 문서가 관련 정보를 제공할 가능성이 높다.",,,,,,,,,
faq-016,O,medium,guide/작업간-연결,guide/작업-관계도,,작업 단위에서 하위 작업 항목을 추가하게 되면 태그처럼 작업 브런치명이 옆에 나오게 됩니다. 이렇게 되었을 때 태그의 활용도는 어떤 작업의 하위 항목인지 구분하기 위한 값인가요? 활용도가 작업 계층에서 무한적으로 발생할 수 있는 계층구조를 막기 위해 링크방식으로 연결시,"질문은 작업의 하위 항목과 태그의 활용도에 대한 것으로, 작업간 연결과 작업 관계도 문서가 관련 정보를 제공할 가능성이 높습니다.",,,,,,,,,
faq-028,O,medium,guide/스프린트/스프린트-설정,guide/스프린트/개요,,작업관리-작업에 프로젝트를 추가했는데 스프린트에 표시가 되지 않습니다ㅜㅜ 네 감사합니다!,"질문은 작업이 스프린트에 표시되지 않는 문제에 관한 것으로, 스프린트 설정이나 개요 문서에서 해결 방법을 찾을 수 있을 것으로 판단됩니다.",,,,,,,,,
faq-033,O,medium,guide/프로젝트-일정-자동-생성,,,"안녕하세요! 일정 자동화 버튼을 눌렀는데, 자동화를 취소하고 싶습니다! 어떻게 조치하면 될까요? 아 해결했습니다!","질문은 일정 자동화 기능의 취소 방법에 대한 것으로, 관련된 문서는 '프로젝트 일정 자동 생성'일 가능성이 높다.",,,,,,,,,
faq-036,O,medium,guide/작업-상태/설정,,,"안녕하세요. 작업에서 참여자 설정을 할 때 한명만 지정이 되거나 참여자가 부분을 클릭해도 아무것도 뜨지 않는 경우가 있는데 어떻게 해결을 해야되나요? 프로젝트, 목표에도 참여자를 배정 할 수 있게 수정 가능한지 궁금합니다 😀 하위 탭을 누르지 않고도 어떤 프로젝트에 참","질문은 작업에서 참여자 설정 문제와 관련된 것으로, 작업 상태 설정 문서가 관련 정보를 제공할 가능성이 높다.",,,,,,,,,
faq-039,O,medium,guide/작업간-연결/연결-추가하기,guide/작업-상태/설정,,안녕하세요. <서비스명> 사용중인데 불편한 사항이 있어서 연락드려요. 작업을 만들고 하위 작업을 작성하면 차이점이 직관적이지 않아 보기 어려운 것 같아요. 작업을 만들때 default 참여자를 설정할 수 있으면 편할 것 같아요. 작업관리 -> 리스트에서 하위 작업의 정,"질문은 작업과 하위 작업의 관리 및 정렬에 관한 것으로, 관련된 문서로 작업간 연결 및 작업 상태 설정 문서가 적합할 수 있다.",,,,,,,,,
faq-043,O,medium,guide/문서-템플릿/템플릿-적용,guide/문서-템플릿/템플릿-생성,,프로 체험판 요금제 신청했는데 <수치>지나면 자동결제 된다고 해서 자동결제는 안되게 하고싶은데 어디서 가능한가요 아! 네 감사합니다 넵 아 지금 프로젝트-목표-작업 이렇게 입력했는데 동일한 작업을 목표별로 입력하고싶거든요 방법이 있을까요? 브랜치명 복사기능있는건 봤는데,"질문은 작업 복제와 템플릿 사용법에 관한 것으로, 문서 템플릿 관련 문서가 적합하다.",,,,,,,,,
faq-067,O,medium,guide/구독-및-결제/구독-변경-또는-취소,guide/구독-및-결제/결제-및-청구-관리,,"pro 요금제를 사용하고 싶을 때 팀 단위로 결제를 하는 걸까요? ex) 팀원이 자주 바뀌는 경우, 혹은 pro를 안쓰는 팀원과 일을 하고 싶은 경우","질문은 Pro 요금제의 결제 방식에 관한 것으로, 구독 및 결제 관련 문서가 적합하다.",,,,,,,,,
faq-069,O,medium,guide/미팅/미팅-생성,guide/멤버/권한,,"안녕하세요 <서비스명> 미팅에 게시글(일정) 만드려는데 권한이 없다고 뜹니다. 혹시 어디서 설정해야 할지 알 수 있을까요? 미팅에 글 쓰려고 하니 권한 없다고 해서요, 근데 어디서 세팅하는지 모르겠습니다 감사합니다 ㅎ","질문은 미팅 게시글 작성 권한 설정에 관한 것으로, 미팅 생성 및 멤버 권한 관련 문서가 관련 있을 것으로 판단됩니다.",,,,,,,,,
faq-078,O,medium,guide/에디터,guide/에디터/개요,,표 삭제를 어떻게 하나요? 잘 안되는 것 같아요,"질문은 표 삭제 방법에 대한 것으로, 에디터 관련 문서에 답이 있을 가능성이 높다.",,,,,,,,,
faq-001,X,high,,,,탈퇴방법 <이메일> 입니다! <서명정보 및 원본 이메일 마스킹>,"회원 탈퇴는 특정 계정에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답변할 수 없는 질문입니다.",,,,,,,,,
